id,name,category_id,description,is_active,subcategory_id,marca,package_size,segment,timac_points
0c78c4e6-4190-4665-a5c4-6ed6777ad22a,FERT 12-15-15 - FERTIPAR - BB - KG,cat-fertilizantes,FERTIPAR FERTILIZANTES,t,,FERTIPAR FERTILIZANTES,,,0.00
b8dc677e-da87-4826-bbc9-20557f7d5b8a,RIZOLIQ TOP - BRADYRHIZOBIUM - 2LTS,cat-especialidades,RIZOBACTER,t,,RIZOBACTER,2.00,,0.00
a7d5f4d7-9d90-4604-8b29-dc2cf804ca6f,FERT TOP PHOS BALANCE - BB - 13 09 09,cat-fertilizantes,TIMAC,t,,TIMAC,,,0.00
97f95490-3d3f-4fb5-aa71-6df01f3f3527,CYANTRANE 80WG 1KG,cat-agroquimicos,TAMPA,t,,TAMPA,1.00,,0.00
7f30b178-1b9b-4d0d-9b58-78ad6ee1543a,PORCELEN PLUS - BENZOATO 30 WG% - 1KG,cat-agroquimicos,RAINBOW,t,,RAINBOW,1.00,,0.00
32fb72a7-fbc0-4fe4-bc15-3222d655e845,ACRESCENT SOLUS F - NEMATICIDA - 20LTS,cat-especialidades,CARBON,t,,CARBON,20.00,,0.00
924b9063-a2dd-4bd7-9721-35a21597c54a,ACRESCENT RAIZ F - NEMATICIDA -  5LTS,cat-especialidades,CARBON,t,,CARBON,5.00,,0.00
c95cdd39-84f3-4315-8f8e-96c880d48da9,FERT PHYSALG ACTIMAX 13-09-09 - BB,cat-fertilizantes,TIMAC,t,,TIMAC,,,0.00
8552703f-6803-486a-88e3-52749ae90e71,STICKER OIL 20 LTS,cat-especialidades,TECNOMYL,t,,TECNOMYL,20.00,,0.00
75b2fc62-f1d8-4df9-857a-b7b18cdf5f8d,RIZOSPRAY VALEMAX  - 1LTS,cat-especialidades,RIZOBACTER,t,,RIZOBACTER,1.00,,0.00
ea4cf8f2-2916-45d3-830e-eb94c36d9002,FERT 02-20-18 - BRFERTIL - BB - KG,cat-fertilizantes,BR FERTIL,t,,BR FERTIL,,,0.00
c580d67c-3b7c-47f7-b0e9-e02dbcb147c8,FERT 00-00-60 - FERTIPAR - BB - KG,cat-fertilizantes,FERTIPAR FERTILIZANTES,t,,FERTIPAR FERTILIZANTES,,,0.00
e4111c42-14ec-47e2-8890-5b9c3f3e8023,FERT 04-30-10 + MICRO MOSAIC-  BB - KG,cat-fertilizantes,MOSAIC,t,,MOSAIC,,,0.00
440586d7-420d-4a11-9af4-21b78314eef8,FERT 00-00-60 - YARA - BB - KG,cat-fertilizantes,YARA FERTILIZANTES,t,,YARA FERTILIZANTES,,,0.00
d71b7f9b-92e4-46b2-a1b0-0590b3c13660,FERT 02-20-18 MOSAIC - BB - KG,cat-fertilizantes,MOSAIC,t,,MOSAIC,,,0.00
fefdcfa4-43f0-4cdf-8f55-c8744d7c1b57,FERT BASIDUO 135 TIMAC - BB,cat-fertilizantes,TIMAC,t,,TIMAC,,,0.00
5a7c2266-28ce-41f6-be2f-95397d21d4f2,FERT SULFAMMO META 29 - TIMAC - BB - KG,cat-fertilizantes,TIMAC,t,,TIMAC,,,0.00
0ec210da-3b4b-4346-a5d9-7cf28b90eb85,FERT 12-15-15 - BR FERTIL - BB - KG,cat-fertilizantes,BR FERTIL,t,,BR FERTIL,,,0.00
56f268e6-db73-4c5e-9a30-e928198d71cb,METYL OIL - ACEITE METILADA - 10LTS,cat-especialidades,RIZOBACTER,t,,RIZOBACTER,10.00,,0.00
