id,client_id,farm_id,field_id,scheduled_at,window_start,window_end,status,assignee,notes,created_at,updated_at
cb76ed7b-40be-4693-a904-30101a34012d,55aaa737-fd19-4e5e-a76c-cbdd43eb59c1,,,2025-10-13 19:29:04.022324+00,2025-10-13 19:29:04.022324+00,,PLANEJADA,fregolao,Visita de teste CRM - Backend completo,2025-10-12 19:34:27.864166+00,2025-10-12 19:34:27.864166+00
62640ba3-3085-417f-b2e4-0fd20f4b44d0,f91d5c94-ecb6-4507-8735-f3e926058318,,,2025-10-13 12:00:00+00,2025-10-13 12:00:00+00,,PLANEJADA,4f752ce4-b8f4-42a5-98a9-17a335304d6f,,2025-10-13 22:38:35.619058+00,2025-10-13 22:38:35.619058+00
visit-1760405307719,1f4fbb03-696d-4307-9301-da130f3b558d,,,,2025-10-15 08:00:00+00,2025-10-15 08:00:00+00,PLANEJADA,,Demonstração Produto,2025-10-14 01:28:27.993561+00,2025-10-14 01:28:27.993561+00
visit-1760404932051,c85733d6-36e2-45bb-8656-0473842ac362,,,,2025-10-16 08:00:00+00,2025-10-16 08:00:00+00,PLANEJADA,,Amostra Folha,2025-10-14 01:28:32.000418+00,2025-10-14 01:28:32.000418+00
visit-1764543143415,dd68ed48-0adc-424c-85b0-c19ac91be004,9e36ba90-f252-4e49-a1c2-783a92f92fbd,,,2025-12-01 14:52:00+00,2025-12-01 14:52:00+00,PLANEJADA,,Amostra Solo,2025-11-30 22:52:23.901289+00,2025-11-30 22:52:23.901289+00
visit-1764543377128,dd68ed48-0adc-424c-85b0-c19ac91be004,9e36ba90-f252-4e49-a1c2-783a92f92fbd,,,2025-12-01 08:55:00+00,2025-12-01 08:55:00+00,PLANEJADA,,Amostra Solo,2025-11-30 22:56:17.61454+00,2025-11-30 22:56:17.61454+00
visit-1764548749561,dd68ed48-0adc-424c-85b0-c19ac91be004,9e36ba90-f252-4e49-a1c2-783a92f92fbd,,,2025-12-01 07:25:00+00,2025-12-01 07:25:00+00,PLANEJADA,,Inspeção Técnica,2025-12-01 00:25:50.081864+00,2025-12-01 00:25:50.081864+00
visit-1764548904806,dd68ed48-0adc-424c-85b0-c19ac91be004,9e36ba90-f252-4e49-a1c2-783a92f92fbd,,,2025-12-01 08:28:00+00,2025-12-01 08:28:00+00,PLANEJADA,,Demonstração Produto,2025-12-01 00:28:25.126133+00,2025-12-01 00:28:25.126133+00
visit-1764549258961,dd68ed48-0adc-424c-85b0-c19ac91be004,9e36ba90-f252-4e49-a1c2-783a92f92fbd,,,2025-12-01 07:34:00+00,2025-12-01 07:34:00+00,PLANEJADA,,Inspeção Técnica,2025-12-01 00:34:19.46447+00,2025-12-01 00:34:19.46447+00
visit-1764549447615,dd68ed48-0adc-424c-85b0-c19ac91be004,9e36ba90-f252-4e49-a1c2-783a92f92fbd,,,2025-12-01 07:37:00+00,2025-12-01 07:37:00+00,PLANEJADA,,Amostra Solo,2025-12-01 00:37:28.18527+00,2025-12-01 00:37:28.18527+00
visit-1764617172068,dd68ed48-0adc-424c-85b0-c19ac91be004,9e36ba90-f252-4e49-a1c2-783a92f92fbd,,,2025-12-02 16:26:00+00,2025-12-02 16:26:00+00,PLANEJADA,,Demonstração Produto,2025-12-01 19:26:12.572481+00,2025-12-01 19:26:12.572481+00
visit-1764618464954,dd68ed48-0adc-424c-85b0-c19ac91be004,9e36ba90-f252-4e49-a1c2-783a92f92fbd,,,2025-12-02 16:47:00+00,2025-12-02 16:47:00+00,PLANEJADA,,Amostra Folha,2025-12-01 19:47:45.443525+00,2025-12-01 19:47:45.443525+00
visit-1764619535343,dd68ed48-0adc-424c-85b0-c19ac91be004,9e36ba90-f252-4e49-a1c2-783a92f92fbd,,,2025-12-02 14:05:00+00,2025-12-02 14:05:00+00,PLANEJADA,,Amostra Folha,2025-12-01 20:05:35.835393+00,2025-12-01 20:05:35.835393+00
